Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio de Janeiro;Santos;3-BRSA-496-RJS;3RJS646;AnC_TUPI;Petrobras;4.86E+14;2023/07;335868;0;335868;21305;0;21305;29726;378742;FPSO CIDADE DE ANGRA DOS REIS;UEP;685;2023/02;Área de Sul de Tupi;30.2;< 270ºC;0.348;270ºC a 458ºC;0.2529;> 458ºC;0.3991;71809;11429;6953;1006;1746;0.293;0.325;0.126;0.055;0.03;0.015;0.003;0;0.06;0.879;5271;200144;52822646;387980539;04/09/2023 02:36
Rio de Janeiro;Santos;9-LL-19-RJS;9LL19RJS;AnC_TUPI;Petrobras;4.86E+14;2023/07;802194;0;802194;35142;0;35142;49035;12643;Petrobras 67 (P-67);UEP;683;2023/02;Área de Sul de Tupi;30.2;< 270ºC;0.348;270ºC a 458ºC;0.2529;> 458ºC;0.3991;71809;11429;6953;1006;1746;0.293;0.325;0.126;0.055;0.03;0.015;0.003;0;0.06;0.879;5271;200144;52822646;387980539;04/09/2023 02:36
Rio de Janeiro;Campos;7-VM-63D-RJS;7VM  0063D RJS;VERMELHO;Perenco Brasil;4.80E+14;2023/07;0;0;0;0;0;0;0;0;PLATAFORMA DE VERMELHO-I;UEP;0;2021/10;POLO PARGO;22.86;< 290ºC;0.2042;290ºC a 380ºC;0.1474;> 380ºC;0.6484;76438;6609;7029;1501;2371;0.63;0.729;0.418;0.055;0.003;0;0;0;0.095;2322;1.8;204423;53335002;381220594;04/09/2023 02:36
Rio de Janeiro;Campos;7-PRG-79HP-RJS;BMC7C14T3;PITANGOLA;Equinor Brasil;4.86E+14;2023/07;14512262;0;14512262;80639;0;80639;249808;141896;PEREGRINO C;UEP;723;;;;;;;;;;7455351;468604;593614;199917;323722;152198;151577;0.74366;0.44704;0.10268;0.00985;0.00011;0;0.11515;40203;111138;211244;54149998;370177046;04/09/2023 02:36
Rio de Janeiro;Campos;7-PRG-80HP-RJS;BMC7C26A;PITANGOLA;Equinor Brasil;4.86E+14;2023/07;6911769;0;6911769;16006;0;16006;49583;67581;PEREGRINO C;UEP;706;;;;;;;;;;7455351;468604;593614;199917;323722;152198;151577;0.74366;0.44704;0.10268;0.00985;0.00011;0;0.11515;40203;111138;211244;54149998;370177046;04/09/2023 02:36
Rio de Janeiro;Campos;7-PRG-82H-RJS;BMC7C4;PITANGOLA;Equinor Brasil;4.86E+14;2023/07;4763233;0;4763233;24873;0;24873;77052;47381;PEREGRINO C;UEP;391;;;;;;;;;;7455351;468604;593614;199917;323722;152198;151577;0.74366;0.44704;0.10268;0.00985;0.00011;0;0.11515;40203;111138;211244;54149998;370177046;04/09/2023 02:36
Rio de Janeiro;Campos;7-PRG-83H-RJS;BMC7C9;PITANGOLA;Equinor Brasil;4.86E+14;2023/07;7212134;0;7212134;36702;0;36702;113697;3177438;PEREGRINO C;UEP;691;;;;;;;;;;7455351;468604;593614;199917;323722;152198;151577;0.74366;0.44704;0.10268;0.00985;0.00011;0;0.11515;40203;111138;211244;54149998;370177046;04/09/2023 02:36
Rio de Janeiro;Santos;9-BRSA-1254-RJS;9RJS733;SÉPIA;Petrobras;4.86E+16;2023/07;137315175;0;137315175;3991492;0;3991492;1182085;17924;FPSO Carioca (MV-30);UEP;447;2023/02;SEPIA;27.4;< 270ºC;0.3078;270ºC a 458ºC;0.2582;> 458ºC;0.434;56.4;9.03;6222;0.836;1601;0.281;0.341;0.259;0.016;0.003;0;0;0;0.079;1683;23249;200036;5280935;301982427;04/09/2023 02:36
Rio de Janeiro;Santos;7-SEP-6-RJS;7SEP6RJS;SÉPIA;Petrobras;4.86E+16;2023/07;92905661;0;92905661;2704055;0;2704055;800809;18234;FPSO Carioca (MV-30);UEP;449;2023/02;SEPIA;27.4;< 270ºC;0.3078;270ºC a 458ºC;0.2582;> 458ºC;0.434;56.4;9.03;6222;0.836;1601;0.281;0.341;0.259;0.016;0.003;0;0;0;0.079;1683;23249;200036;5280935;301982427;04/09/2023 02:36
Rio de Janeiro;Santos;3-BRSA-1201-RJS;3RJS721;SÉPIA;Petrobras;4.86E+16;2023/07;127399272;0;127399272;3709965;0;3709965;1098711;25003;FPSO Carioca (MV-30);UEP;449;2023/02;SEPIA;27.4;< 270ºC;0.3078;270ºC a 458ºC;0.2582;> 458ºC;0.434;56.4;9.03;6222;0.836;1601;0.281;0.341;0.259;0.016;0.003;0;0;0;0.079;1683;23249;200036;5280935;301982427;04/09/2023 02:36
Rio de Janeiro;Santos;9-BRSA-1212-RJS;9RJS726;SURURU;Petrobras;4.86E+14;2023/07;147049527;0;147049527;4502557;0;4502557;13955657;62078;Petrobras 68;UEP;632;2023/02;BERBIGAO-SURURU;28.4;< 270ºC;0.3283;270ºC a 458ºC;0.2673;> 458ºC;0.4044;64624;14346;10265;1344;2621;0.478;0.575;0.28;0.133;0.038;0.02;0.011;0;0;0.653;4612;199875;52789964;403104373;04/09/2023 02:36
