Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio Grande do Norte;Potiguar;7-CAM-815-RN;7CAM815RN;CANTO DO AMARO;3R Potiguar;4.80E+14;2023/07;38577;0;38577;0.0005;0;0.0005;0.015;309332;Estação Coletora Canto do Amaro L;INSTALACAO EMB/DESEMB;682;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-UPN-13-RN;7UPN 0013  RN;UPANEMA;Potiguar E&P S.A.;4.80E+14;2023/07;319541;0;319541;0.1468;0;0.1468;4.54;1670665;Estação Coletora de Upanema;INSTALACAO EMB/DESEMB;741;;;;;;;;;;893519;36438;21064;0.5252;0.657;0.2373;0.2243;0.2086;0.1143;0.0264;0.0008;0;0;0.0059;26684;0.2297;204749;53372615;376668475;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-818-RN;7CAM818RN;CANTO DO AMARO;3R Potiguar;4.80E+14;2023/07;10405;0;10405;0.0002;0;0.0002;0.004;132015;Estação Coletora Alto da Pedra B;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Sergipe;Sergipe;7-CP-1176D-SE;7CP  1176D SE;CARMÓPOLIS;Carmo;4.80E+14;2023/07;5828;0;5828;0.0003;0;0.0003;0.009;4265932;Estação Coletora de Jericó;INSTALACAO EMB/DESEMB;640;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;678554;80641;6486;19701;25057;12874;0.6826;0.2161;0;0;0;0;0;0;14188;95138;207556;53710734;356803215;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-819-RN;7CAM819RN;CANTO DO AMARO;3R Potiguar;4.80E+14;2023/07;59076;0;59076;0.0009;0;0.0009;0.026;1665702;Estação Coletora Alto da Pedra D;INSTALACAO EMB/DESEMB;729;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-UPN-17-RN;7UPN 0017  RN;UPANEMA;Potiguar E&P S.A.;4.80E+14;2023/07;0;74936;74936;0;27122;27122;83894;40896;Estação Coletora de Upanema;INSTALACAO EMB/DESEMB;744;;;;;;;;;;893519;36438;21064;0.5252;0.657;0.2373;0.2243;0.2086;0.1143;0.0264;0.0008;0;0;0.0059;26684;0.2297;204749;53372615;376668475;04/09/2023 02:36
Sergipe;Sergipe;7-SZ-507D-SE;7SZ507DSE;SIRIRIZINHO;Carmo;4.80E+14;2023/07;4933;0;4933;0.0356;0;0.0356;1103;1358045;Estação Coletora de Sirizinho I;INSTALACAO EMB/DESEMB;740;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;6832055;553535;666475;236905;28408;162935;0.69035;0.23245;0;0;0;0;0;0;49654;675195;209345;53925329;344704773;04/09/2023 02:36
Sergipe;Sergipe;7-CP-1638D-SE;7CP1638DSE;CARMÓPOLIS;Carmo;4.80E+14;2023/07;153845;0;153845;0.0007;0;0.0007;0.023;8909374;Estação Coletora de Santo Antônio;INSTALACAO EMB/DESEMB;724;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;678554;80641;6486;19701;25057;12874;0.6826;0.2161;0;0;0;0;0;0;14188;95138;207556;53710734;356803215;04/09/2023 02:36
Sergipe;Sergipe;7-SZ-467-SE;7SZ467SE;SIRIRIZINHO;Carmo;4.80E+14;2023/07;96325;0;96325;0.0695;0;0.0695;2153;1364554;Estação Coletora de Sirizinho I;INSTALACAO EMB/DESEMB;742;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;6832055;553535;666475;236905;28408;162935;0.69035;0.23245;0;0;0;0;0;0;49654;675195;209345;53925329;344704773;04/09/2023 02:36
Rio Grande do Norte;Potiguar;3-UPN-4-RN;3UPN 0004  RN;UPANEMA;Potiguar E&P S.A.;4.80E+14;2023/07;11417;0;11417;0.3838;0;0.3838;11872;0.0057;Estação Coletora de Upanema;INSTALACAO EMB/DESEMB;740;;;;;;;;;;893519;36438;21064;0.5252;0.657;0.2373;0.2243;0.2086;0.1143;0.0264;0.0008;0;0;0.0059;26684;0.2297;204749;53372615;376668475;04/09/2023 02:36
